Trial ID: 1
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,361,228,106,28,2,1,1,0,0,0,0,0,0
4,684,184,1,0,0,0,0,0,0,0,0,0,0
5,864,30,0,0,0,0,0,0,0,0,0,0,0
6,906,3,0,0,0,0,0,0,0,0,0,0,0
7,847,3,0,0,0,0,0,0,0,0,0,0,0
8,752,2,0,0,0,0,0,0,0,0,0,0,0
9,591,0,0,0,0,0,0,0,0,0,0,0,0
10,471,0,0,0,0,0,0,0,0,0,0,0,0
11,322,0,0,0,0,0,0,0,0,0,0,0,0
12,190,0,0,0,0,0,0,0,0,0,0,0,0
13,117,0,0,0,0,0,0,0,0,0,0,0,0
14,78,0,0,0,0,0,0,0,0,0,0,0,0
15,56,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,233,130,73,45,24,4,1,1,1,1,0,0,0
4,498,147,20,2,0,0,0,0,0,0,0,0,0
5,577,70,2,0,0,0,0,0,0,0,0,0,0
6,547,12,0,0,0,0,0,0,0,0,0,0,0
7,507,5,0,0,0,0,0,0,0,0,0,0,0
8,436,4,0,0,0,0,0,0,0,0,0,0,0
9,337,2,0,0,0,0,0,0,0,0,0,0,0
10,265,1,0,0,0,0,0,0,0,0,0,0,0
11,176,0,0,0,0,0,0,0,0,0,0,0,0
12,124,0,0,0,0,0,0,0,0,0,0,0,0
13,91,0,0,0,0,0,0,0,0,0,0,0,0
14,65,0,0,0,0,0,0,0,0,0,0,0,0
15,46,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
