Trial ID: 14
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,336,193,115,48,4,1,0,0,0,0,0,0,0
4,679,201,9,0,0,0,0,0,0,0,0,0,0
5,846,45,0,0,0,0,0,0,0,0,0,0,0
6,888,7,0,0,0,0,0,0,0,0,0,0,0
7,836,1,0,0,0,0,0,0,0,0,0,0,0
8,715,0,0,0,0,0,0,0,0,0,0,0,0
9,604,0,0,0,0,0,0,0,0,0,0,0,0
10,453,0,0,0,0,0,0,0,0,0,0,0,0
11,327,0,0,0,0,0,0,0,0,0,0,0,0
12,226,0,0,0,0,0,0,0,0,0,0,0,0
13,149,0,0,0,0,0,0,0,0,0,0,0,0
14,123,0,0,0,0,0,0,0,0,0,0,0,0
15,94,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,288,160,106,55,14,1,0,0,0,0,0,0,0
4,541,163,23,1,1,0,0,0,0,0,0,0,0
5,649,64,1,0,0,0,0,0,0,0,0,0,0
6,648,14,1,0,0,0,0,0,0,0,0,0,0
7,564,3,1,0,0,0,0,0,0,0,0,0,0
8,445,1,1,0,0,0,0,0,0,0,0,0,0
9,344,1,1,0,0,0,0,0,0,0,0,0,0
10,233,1,0,0,0,0,0,0,0,0,0,0,0
11,175,1,0,0,0,0,0,0,0,0,0,0,0
12,122,1,0,0,0,0,0,0,0,0,0,0,0
13,80,1,0,0,0,0,0,0,0,0,0,0,0
14,62,0,0,0,0,0,0,0,0,0,0,0,0
15,47,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
