Trial ID: 13
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,345,209,121,35,3,1,0,0,0,0,0,0,0
4,659,215,5,0,0,0,0,0,0,0,0,0,0
5,828,50,0,0,0,0,0,0,0,0,0,0,0
6,862,3,0,0,0,0,0,0,0,0,0,0,0
7,819,0,0,0,0,0,0,0,0,0,0,0,0
8,706,0,0,0,0,0,0,0,0,0,0,0,0
9,620,0,0,0,0,0,0,0,0,0,0,0,0
10,475,0,0,0,0,0,0,0,0,0,0,0,0
11,329,0,0,0,0,0,0,0,0,0,0,0,0
12,208,0,0,0,0,0,0,0,0,0,0,0,0
13,137,0,0,0,0,0,0,0,0,0,0,0,0
14,89,0,0,0,0,0,0,0,0,0,0,0,0
15,64,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,263,138,84,42,14,5,2,1,1,0,0,0,0
4,524,163,20,2,1,0,0,0,0,0,0,0,0
5,578,76,3,2,0,0,0,0,0,0,0,0,0
6,583,11,2,0,0,0,0,0,0,0,0,0,0
7,542,2,2,0,0,0,0,0,0,0,0,0,0
8,473,2,1,0,0,0,0,0,0,0,0,0,0
9,378,2,1,0,0,0,0,0,0,0,0,0,0
10,301,2,1,0,0,0,0,0,0,0,0,0,0
11,204,2,0,0,0,0,0,0,0,0,0,0,0
12,142,2,0,0,0,0,0,0,0,0,0,0,0
13,90,1,0,0,0,0,0,0,0,0,0,0,0
14,62,1,0,0,0,0,0,0,0,0,0,0,0
15,41,1,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
