Trial ID: 6
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,2,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,340,212,116,35,2,0,0,0,0,0,0,0,0
4,687,214,4,0,0,0,0,0,0,0,0,0,0
5,822,48,0,0,0,0,0,0,0,0,0,0,0
6,888,6,0,0,0,0,0,0,0,0,0,0,0
7,846,1,0,0,0,0,0,0,0,0,0,0,0
8,763,1,0,0,0,0,0,0,0,0,0,0,0
9,634,0,0,0,0,0,0,0,0,0,0,0,0
10,497,0,0,0,0,0,0,0,0,0,0,0,0
11,377,0,0,0,0,0,0,0,0,0,0,0,0
12,242,0,0,0,0,0,0,0,0,0,0,0,0
13,164,0,0,0,0,0,0,0,0,0,0,0,0
14,112,0,0,0,0,0,0,0,0,0,0,0,0
15,85,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,2,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,252,135,94,37,9,3,1,0,0,0,0,0,0
4,514,165,18,0,0,0,0,0,0,0,0,0,0
5,586,71,0,0,0,0,0,0,0,0,0,0,0
6,606,9,1,0,0,0,0,0,0,0,0,0,0
7,560,2,1,0,0,0,0,0,0,0,0,0,0
8,473,1,1,0,0,0,0,0,0,0,0,0,0
9,362,1,1,0,0,0,0,0,0,0,0,0,0
10,283,1,1,0,0,0,0,0,0,0,0,0,0
11,197,1,1,0,0,0,0,0,0,0,0,0,0
12,147,1,0,0,0,0,0,0,0,0,0,0,0
13,106,1,0,0,0,0,0,0,0,0,0,0,0
14,84,1,0,0,0,0,0,0,0,0,0,0,0
15,65,1,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,2,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 2: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,358,247,139,27,3,0,0,0,0,0,0,0,0
4,744,248,4,0,0,0,0,0,0,0,0,0,0
5,974,67,0,0,0,0,0,0,0,0,0,0,0
6,1072,13,0,0,0,0,0,0,0,0,0,0,0
7,1094,5,0,0,0,0,0,0,0,0,0,0,0
8,1022,3,0,0,0,0,0,0,0,0,0,0,0
9,915,1,0,0,0,0,0,0,0,0,0,0,0
10,755,0,0,0,0,0,0,0,0,0,0,0,0
11,596,0,0,0,0,0,0,0,0,0,0,0,0
12,463,0,0,0,0,0,0,0,0,0,0,0,0
13,370,0,0,0,0,0,0,0,0,0,0,0,0
14,279,0,0,0,0,0,0,0,0,0,0,0,0
15,232,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 3 ANALYSIS ===
--- Digit 3: B0 (Components) ---
