Trial ID: 7
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,2,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,347,234,117,33,4,0,0,0,0,0,0,0,0
4,672,212,1,0,0,0,0,0,0,0,0,0,0
5,850,44,0,0,0,0,0,0,0,0,0,0,0
6,889,5,0,0,0,0,0,0,0,0,0,0,0
7,852,1,0,0,0,0,0,0,0,0,0,0,0
8,761,1,0,0,0,0,0,0,0,0,0,0,0
9,595,1,0,0,0,0,0,0,0,0,0,0,0
10,459,0,0,0,0,0,0,0,0,0,0,0,0
11,322,0,0,0,0,0,0,0,0,0,0,0,0
12,228,0,0,0,0,0,0,0,0,0,0,0,0
13,167,0,0,0,0,0,0,0,0,0,0,0,0
14,112,0,0,0,0,0,0,0,0,0,0,0,0
15,79,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,295,147,88,56,13,5,2,0,0,0,0,0,0
4,519,170,18,1,0,0,0,0,0,0,0,0,0
5,607,47,0,0,0,0,0,0,0,0,0,0,0
6,585,7,0,0,0,0,0,0,0,0,0,0,0
7,539,1,0,0,0,0,0,0,0,0,0,0,0
8,413,0,0,0,0,0,0,0,0,0,0,0,0
9,329,0,0,0,0,0,0,0,0,0,0,0,0
10,248,0,0,0,0,0,0,0,0,0,0,0,0
11,170,0,0,0,0,0,0,0,0,0,0,0,0
12,118,0,0,0,0,0,0,0,0,0,0,0,0
13,91,0,0,0,0,0,0,0,0,0,0,0,0
14,61,0,0,0,0,0,0,0,0,0,0,0,0
15,47,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 2: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,361,236,129,47,2,0,0,0,0,0,0,0,0
4,724,236,6,0,0,0,0,0,0,0,0,0,0
5,984,50,0,0,0,0,0,0,0,0,0,0,0
6,1105,7,0,0,0,0,0,0,0,0,0,0,0
7,1112,1,0,0,0,0,0,0,0,0,0,0,0
8,1024,0,0,0,0,0,0,0,0,0,0,0,0
9,909,0,0,0,0,0,0,0,0,0,0,0,0
10,763,0,0,0,0,0,0,0,0,0,0,0,0
11,601,0,0,0,0,0,0,0,0,0,0,0,0
12,473,0,0,0,0,0,0,0,0,0,0,0,0
13,355,0,0,0,0,0,0,0,0,0,0,0,0
14,256,0,0,0,0,0,0,0,0,0,0,0,0
15,198,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 3 ANALYSIS ===
--- Digit 3: B0 (Components) ---
