Trial ID: 5
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,329,210,120,50,4,0,0,0,0,0,0,0,0
4,648,199,5,0,0,0,0,0,0,0,0,0,0
5,816,47,0,0,0,0,0,0,0,0,0,0,0
6,892,3,0,0,0,0,0,0,0,0,0,0,0
7,867,1,0,0,0,0,0,0,0,0,0,0,0
8,744,1,0,0,0,0,0,0,0,0,0,0,0
9,595,0,0,0,0,0,0,0,0,0,0,0,0
10,440,0,0,0,0,0,0,0,0,0,0,0,0
11,308,0,0,0,0,0,0,0,0,0,0,0,0
12,197,0,0,0,0,0,0,0,0,0,0,0,0
13,151,0,0,0,0,0,0,0,0,0,0,0,0
14,104,0,0,0,0,0,0,0,0,0,0,0,0
15,78,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,2,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,275,150,89,52,19,2,0,0,0,0,0,0,0
4,523,182,11,0,0,0,0,0,0,0,0,0,0
5,617,72,0,0,0,0,0,0,0,0,0,0,0
6,655,8,0,0,0,0,0,0,0,0,0,0,0
7,586,2,0,0,0,0,0,0,0,0,0,0,0
8,498,1,0,0,0,0,0,0,0,0,0,0,0
9,381,0,0,0,0,0,0,0,0,0,0,0,0
10,264,0,0,0,0,0,0,0,0,0,0,0,0
11,177,0,0,0,0,0,0,0,0,0,0,0,0
12,121,0,0,0,0,0,0,0,0,0,0,0,0
13,91,0,0,0,0,0,0,0,0,0,0,0,0
14,60,0,0,0,0,0,0,0,0,0,0,0,0
15,38,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
