Trial ID: 9
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,377,243,130,14,5,0,0,0,0,0,0,0,0
4,722,194,2,1,0,0,0,0,0,0,0,0,0
5,868,38,0,0,0,0,0,0,0,0,0,0,0
6,902,7,0,0,0,0,0,0,0,0,0,0,0
7,816,1,0,0,0,0,0,0,0,0,0,0,0
8,704,0,0,0,0,0,0,0,0,0,0,0,0
9,567,0,0,0,0,0,0,0,0,0,0,0,0
10,439,0,0,0,0,0,0,0,0,0,0,0,0
11,314,0,0,0,0,0,0,0,0,0,0,0,0
12,217,0,0,0,0,0,0,0,0,0,0,0,0
13,144,0,0,0,0,0,0,0,0,0,0,0,0
14,104,0,0,0,0,0,0,0,0,0,0,0,0
15,80,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,5,5,5,5,5,5,5,5,5,5,5,5,5
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,295,168,88,35,12,1,1,0,0,0,0,0,0
4,515,166,14,1,0,0,0,0,0,0,0,0,0
5,628,61,1,0,0,0,0,0,0,0,0,0,0
6,628,6,1,0,0,0,0,0,0,0,0,0,0
7,555,2,0,0,0,0,0,0,0,0,0,0,0
8,467,1,0,0,0,0,0,0,0,0,0,0,0
9,357,1,0,0,0,0,0,0,0,0,0,0,0
10,268,2,0,0,0,0,0,0,0,0,0,0,0
11,179,2,0,0,0,0,0,0,0,0,0,0,0
12,115,2,0,0,0,0,0,0,0,0,0,0,0
13,80,2,0,0,0,0,0,0,0,0,0,0,0
14,56,2,0,0,0,0,0,0,0,0,0,0,0
15,46,1,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
