Trial ID: 3
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,2,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,345,226,139,41,4,0,0,0,0,0,0,0,0
4,667,199,5,0,0,0,0,0,0,0,0,0,0
5,807,41,0,0,0,0,0,0,0,0,0,0,0
6,850,5,0,0,0,0,0,0,0,0,0,0,0
7,819,1,0,0,0,0,0,0,0,0,0,0,0
8,703,1,0,0,0,0,0,0,0,0,0,0,0
9,604,0,0,0,0,0,0,0,0,0,0,0,0
10,462,0,0,0,0,0,0,0,0,0,0,0,0
11,330,0,0,0,0,0,0,0,0,0,0,0,0
12,210,0,0,0,0,0,0,0,0,0,0,0,0
13,152,0,0,0,0,0,0,0,0,0,0,0,0
14,98,0,0,0,0,0,0,0,0,0,0,0,0
15,78,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,307,165,100,34,7,0,0,0,0,0,0,0,0
4,550,165,16,1,0,0,0,0,0,0,0,0,0
5,643,39,2,0,0,0,0,0,0,0,0,0,0
6,638,6,0,0,0,0,0,0,0,0,0,0,0
7,560,3,0,0,0,0,0,0,0,0,0,0,0
8,425,1,0,0,0,0,0,0,0,0,0,0,0
9,325,0,0,0,0,0,0,0,0,0,0,0,0
10,221,0,0,0,0,0,0,0,0,0,0,0,0
11,141,0,0,0,0,0,0,0,0,0,0,0,0
12,97,0,0,0,0,0,0,0,0,0,0,0,0
13,57,0,0,0,0,0,0,0,0,0,0,0,0
14,42,0,0,0,0,0,0,0,0,0,0,0,0
15,36,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 2: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,353,243,152,38,4,0,0,0,0,0,0,0,0
4,760,272,3,0,0,0,0,0,0,0,0,0,0
5,993,58,0,0,0,0,0,0,0,0,0,0,0
6,1090,2,0,0,0,0,0,0,0,0,0,0,0
7,1119,1,0,0,0,0,0,0,0,0,0,0,0
8,1029,1,0,0,0,0,0,0,0,0,0,0,0
9,899,0,0,0,0,0,0,0,0,0,0,0,0
10,766,0,0,0,0,0,0,0,0,0,0,0,0
11,628,0,0,0,0,0,0,0,0,0,0,0,0
12,495,0,0,0,0,0,0,0,0,0,0,0,0
13,377,0,0,0,0,0,0,0,0,0,0,0,0
14,282,0,0,0,0,0,0,0,0,0,0,0,0
15,205,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 3 ANALYSIS ===
--- Digit 3: B0 (Components) ---
