Trial ID: 0
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,2,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,343,223,119,25,2,0,0,0,0,0,0,0,0
4,681,211,5,0,0,0,0,0,0,0,0,0,0
5,827,41,0,0,0,0,0,0,0,0,0,0,0
6,881,5,0,0,0,0,0,0,0,0,0,0,0
7,825,2,0,0,0,0,0,0,0,0,0,0,0
8,718,0,0,0,0,0,0,0,0,0,0,0,0
9,602,0,0,0,0,0,0,0,0,0,0,0,0
10,467,0,0,0,0,0,0,0,0,0,0,0,0
11,332,0,0,0,0,0,0,0,0,0,0,0,0
12,232,0,0,0,0,0,0,0,0,0,0,0,0
13,179,0,0,0,0,0,0,0,0,0,0,0,0
14,113,0,0,0,0,0,0,0,0,0,0,0,0
15,75,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,261,159,91,49,19,4,0,0,0,0,0,0,0
4,497,168,21,0,0,0,0,0,0,0,0,0,0
5,567,73,1,0,0,0,0,0,0,0,0,0,0
6,582,7,0,0,0,0,0,0,0,0,0,0,0
7,521,2,0,0,0,0,0,0,0,0,0,0,0
8,423,1,0,0,0,0,0,0,0,0,0,0,0
9,331,2,0,0,0,0,0,0,0,0,0,0,0
10,260,2,0,0,0,0,0,0,0,0,0,0,0
11,193,0,0,0,0,0,0,0,0,0,0,0,0
12,138,0,0,0,0,0,0,0,0,0,0,0,0
13,98,0,0,0,0,0,0,0,0,0,0,0,0
14,63,0,0,0,0,0,0,0,0,0,0,0,0
15,44,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 2: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,363,250,153,41,4,0,0,0,0,0,0,0,0
4,766,251,5,0,0,0,0,0,0,0,0,0,0
5,988,52,0,0,0,0,0,0,0,0,0,0,0
6,1080,8,0,0,0,0,0,0,0,0,0,0,0
7,1084,1,0,0,0,0,0,0,0,0,0,0,0
8,1043,1,0,0,0,0,0,0,0,0,0,0,0
9,935,0,0,0,0,0,0,0,0,0,0,0,0
10,800,0,0,0,0,0,0,0,0,0,0,0,0
11,628,0,0,0,0,0,0,0,0,0,0,0,0
12,464,0,0,0,0,0,0,0,0,0,0,0,0
13,361,0,0,0,0,0,0,0,0,0,0,0,0
14,274,0,0,0,0,0,0,0,0,0,0,0,0
15,214,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 3 ANALYSIS ===
--- Digit 3: B0 (Components) ---
