Trial ID: 2
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,334,215,114,36,6,0,0,0,0,0,0,0,0
4,658,213,4,0,0,0,0,0,0,0,0,0,0
5,819,49,0,0,0,0,0,0,0,0,0,0,0
6,867,4,0,0,0,0,0,0,0,0,0,0,0
7,813,1,0,0,0,0,0,0,0,0,0,0,0
8,742,0,0,0,0,0,0,0,0,0,0,0,0
9,629,0,0,0,0,0,0,0,0,0,0,0,0
10,506,0,0,0,0,0,0,0,0,0,0,0,0
11,377,0,0,0,0,0,0,0,0,0,0,0,0
12,240,0,0,0,0,0,0,0,0,0,0,0,0
13,173,0,0,0,0,0,0,0,0,0,0,0,0
14,122,0,0,0,0,0,0,0,0,0,0,0,0
15,92,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,250,130,77,49,22,5,1,0,0,0,0,0,0
4,494,163,24,1,0,0,0,0,0,0,0,0,0
5,597,53,2,0,0,0,0,0,0,0,0,0,0
6,628,14,0,0,0,0,0,0,0,0,0,0,0
7,525,3,0,0,0,0,0,0,0,0,0,0,0
8,426,0,0,0,0,0,0,0,0,0,0,0,0
9,335,0,0,0,0,0,0,0,0,0,0,0,0
10,241,0,0,0,0,0,0,0,0,0,0,0,0
11,184,0,0,0,0,0,0,0,0,0,0,0,0
12,136,0,0,0,0,0,0,0,0,0,0,0,0
13,111,0,0,0,0,0,0,0,0,0,0,0,0
14,76,0,0,0,0,0,0,0,0,0,0,0,0
15,55,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,2,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
