Trial ID: 16
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,367,229,124,28,1,0,0,0,0,0,0,0,0
4,693,211,4,0,0,0,0,0,0,0,0,0,0
5,847,49,0,0,0,0,0,0,0,0,0,0,0
6,912,4,0,0,0,0,0,0,0,0,0,0,0
7,892,1,0,0,0,0,0,0,0,0,0,0,0
8,765,0,0,0,0,0,0,0,0,0,0,0,0
9,640,0,0,0,0,0,0,0,0,0,0,0,0
10,485,0,0,0,0,0,0,0,0,0,0,0,0
11,324,0,0,0,0,0,0,0,0,0,0,0,0
12,222,0,0,0,0,0,0,0,0,0,0,0,0
13,162,0,0,0,0,0,0,0,0,0,0,0,0
14,121,0,0,0,0,0,0,0,0,0,0,0,0
15,83,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,2,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,277,153,99,37,18,3,0,0,0,0,0,0,0
4,546,150,12,0,0,0,0,0,0,0,0,0,0
5,625,47,0,0,0,0,0,0,0,0,0,0,0
6,627,4,0,0,0,0,0,0,0,0,0,0,0
7,550,1,0,0,0,0,0,0,0,0,0,0,0
8,430,1,0,0,0,0,0,0,0,0,0,0,0
9,327,0,0,0,0,0,0,0,0,0,0,0,0
10,222,0,0,0,0,0,0,0,0,0,0,0,0
11,160,0,0,0,0,0,0,0,0,0,0,0,0
12,94,1,1,0,0,0,0,0,0,0,0,0,0
13,66,1,1,0,0,0,0,0,0,0,0,0,0
14,42,1,0,0,0,0,0,0,0,0,0,0,0
15,33,1,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
