Trial ID: 12
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,336,205,104,37,4,0,0,0,0,0,0,0,0
4,660,197,7,0,0,0,0,0,0,0,0,0,0
5,824,34,1,0,0,0,0,0,0,0,0,0,0
6,855,4,0,0,0,0,0,0,0,0,0,0,0
7,795,3,0,0,0,0,0,0,0,0,0,0,0
8,700,1,0,0,0,0,0,0,0,0,0,0,0
9,560,0,0,0,0,0,0,0,0,0,0,0,0
10,417,0,0,0,0,0,0,0,0,0,0,0,0
11,285,0,0,0,0,0,0,0,0,0,0,0,0
12,195,0,0,0,0,0,0,0,0,0,0,0,0
13,156,0,0,0,0,0,0,0,0,0,0,0,0
14,128,0,0,0,0,0,0,0,0,0,0,0,0
15,96,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,4,4,4,4,4,4,4,4,4,4,4,4,4
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,292,151,85,45,16,4,2,1,0,0,0,0,0
4,559,170,14,0,0,0,0,0,0,0,0,0,0
5,627,64,0,0,0,0,0,0,0,0,0,0,0
6,632,16,0,0,0,0,0,0,0,0,0,0,0
7,537,3,0,0,0,0,0,0,0,0,0,0,0
8,433,0,0,0,0,0,0,0,0,0,0,0,0
9,338,0,0,0,0,0,0,0,0,0,0,0,0
10,254,0,0,0,0,0,0,0,0,0,0,0,0
11,169,0,0,0,0,0,0,0,0,0,0,0,0
12,127,0,0,0,0,0,0,0,0,0,0,0,0
13,103,0,0,0,0,0,0,0,0,0,0,0,0
14,72,0,0,0,0,0,0,0,0,0,0,0,0
15,43,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
