k,trial,B0_1,B0_2,B0_3,B0_4,B0_5,B0_6,B0_7,B0_8,B0_9,B0_10,B0_11,B0_12,B0_13,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13
3,0,1000,1000,990,855,427,160,58,38,35,35,35,35,35,0,0,0,2,110,248,297,319,321,321,321,321,321
3,1,1000,1000,998,852,407,159,71,42,38,37,37,37,37,0,0,0,4,126,256,311,335,338,338,338,338,338
3,2,1000,1000,994,807,383,130,51,39,33,33,33,33,33,0,0,0,6,126,265,318,332,335,335,335,335,335
3,3,1000,1000,994,828,386,136,48,26,23,23,23,23,23,0,0,0,1,118,250,299,322,327,327,327,327,327
3,4,1000,1000,996,846,395,134,56,41,37,37,37,37,37,0,0,0,1,107,248,305,314,315,315,315,315,315
3,5,1000,1000,988,803,379,140,62,44,37,37,37,37,37,0,0,0,1,113,240,291,311,314,315,315,315,315
3,6,1000,1000,988,822,391,150,58,38,36,36,36,36,36,0,0,0,4,105,231,282,311,312,312,312,312,312
3,7,1000,1000,994,844,422,144,49,31,29,29,29,29,29,0,0,0,2,97,230,297,312,316,316,316,316,316
3,8,1000,1000,986,819,404,151,61,47,44,44,44,44,44,0,0,0,2,105,235,292,309,310,310,310,310,310
3,9,1000,1000,997,841,389,156,61,45,43,43,43,43,43,0,0,0,4,120,231,280,290,292,292,292,292,292
3,10,1000,1000,993,838,414,141,64,43,41,41,41,41,41,0,0,0,3,114,267,322,335,337,337,337,337,337
3,11,1000,1000,993,830,403,157,65,51,48,47,47,47,47,0,0,0,4,106,231,293,306,308,308,308,308,308
3,12,1000,1000,993,826,380,137,64,41,40,40,40,40,40,0,0,0,4,134,254,309,325,326,326,326,326,326
3,13,1000,1000,989,817,377,133,58,37,34,34,34,34,34,0,0,0,2,114,243,294,315,317,317,317,317,317
3,14,1000,1000,990,846,402,150,53,32,30,30,30,30,30,0,0,0,1,112,250,309,328,331,332,332,332,332
3,15,1000,1000,989,841,425,134,51,33,31,31,31,31,31,0,0,0,3,97,244,305,316,317,320,320,320,320
3,16,1000,1000,992,851,428,146,66,51,50,50,50,50,50,0,0,0,0,103,231,294,308,311,311,311,311,311
3,17,1000,1000,992,812,375,160,63,45,42,42,42,42,42,0,0,0,3,92,229,279,300,301,301,301,301,301
3,18,1000,1000,994,822,389,172,79,63,62,61,61,61,61,0,0,0,3,131,220,266,278,279,279,279,279,279
3,19,1000,1000,996,836,435,167,63,39,35,35,35,35,35,0,0,0,1,111,233,302,321,323,323,323,323,323
3,20,1000,1000,993,848,408,154,55,24,24,23,23,23,23,0,0,0,1,103,229,289,312,314,316,316,316,316
3,21,1000,1000,996,850,401,154,67,45,44,44,44,44,44,0,0,0,4,117,264,321,337,340,340,340,340,340
3,22,1000,1000,997,866,397,148,52,31,31,31,31,31,31,0,0,0,2,125,275,332,360,360,360,360,360,360
3,23,1000,1000,994,841,408,158,69,43,41,41,41,41,41,0,0,0,2,118,234,278,287,289,289,289,289,289
3,24,1000,1000,996,855,425,167,54,35,30,30,30,30,30,0,0,0,1,104,255,324,351,355,355,355,355,355
3,25,1000,1000,993,836,414,161,67,46,45,43,43,43,43,0,0,0,2,105,234,282,296,296,296,296,296,296
3,26,1000,1000,988,820,420,151,57,42,38,38,38,38,38,0,0,0,3,117,234,313,327,331,331,331,331,331
3,27,1000,1000,996,849,415,181,76,47,40,40,40,40,40,0,0,0,0,100,224,281,297,298,298,298,298,298
3,28,1000,1000,995,840,406,159,52,36,36,36,36,36,36,0,0,0,1,106,226,283,297,298,298,298,298,298
3,29,1000,1000,994,840,441,154,53,36,34,34,34,34,34,0,0,0,2,95,222,296,315,316,316,316,316,316
4,0,1000,1000,990,849,411,145,41,24,20,20,20,20,20,0,0,0,2,184,403,497,544,548,548,548,548,548
4,1,1000,1000,998,850,389,140,47,20,16,16,16,16,16,0,0,0,5,211,447,541,582,585,588,588,588,588
4,2,1000,1000,994,799,370,114,36,24,19,19,19,19,19,0,0,0,6,214,441,541,576,579,579,579,579,579
4,3,1000,1000,994,828,374,124,35,11,9,9,9,9,9,0,0,0,2,189,420,502,542,547,547,547,547,547
4,4,1000,1000,996,843,381,116,41,26,21,21,21,21,21,0,0,0,2,176,432,546,566,569,569,569,569,569
